epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.485,1.86012,1.81976,1.08609,0.28359,0.31394,0.24577,0.12653,1.70997,1.60721,1.02873,0.00333113,0.00333113,0.00333113
2,399.917,1.71316,1.23298,1.01615,0.31631,0.34195,0.24974,0.1199,1.78592,1.65042,1.0392,0.00653251,0.00653251,0.00653251
3,585.847,1.67036,1.11071,1.00118,0.31978,0.29306,0.23044,0.11081,1.81428,1.7734,1.04292,0.00960188,0.00960188,0.00960188
4,769.798,1.61713,1.01941,0.98837,0.2755,0.26948,0.21323,0.10358,1.81171,1.74219,1.04429,0.009406,0.009406,0.009406
5,956.888,1.55561,0.93853,0.97181,0.28708,0.26718,0.20888,0.10002,1.81618,1.72535,1.04796,0.009208,0.009208,0.009208
6,1140,1.51161,0.88655,0.96158,0.31728,0.29422,0.23949,0.11305,1.79023,1.58526,1.0242,0.00901,0.00901,0.00901
7,1324.33,1.47714,0.84983,0.95433,0.35693,0.29642,0.24473,0.11731,1.80294,1.63745,1.02856,0.008812,0.008812,0.008812
8,1507.93,1.44853,0.82289,0.94703,0.33044,0.28105,0.23187,0.11266,1.77585,1.68365,1.02049,0.008614,0.008614,0.008614
9,1692.66,1.42779,0.79959,0.94085,0.37125,0.30772,0.25697,0.12439,1.75309,1.51776,1.017,0.008416,0.008416,0.008416
10,1877.79,1.40904,0.78332,0.93655,0.36312,0.30222,0.25775,0.12241,1.77522,1.60417,1.01682,0.008218,0.008218,0.008218
11,2064.22,1.39305,0.76838,0.93233,0.34252,0.28236,0.24148,0.11579,1.79021,1.5983,1.01903,0.00802,0.00802,0.00802
12,2250.92,1.37515,0.75517,0.92924,0.34272,0.27352,0.24291,0.1151,1.80055,1.68728,1.01685,0.007822,0.007822,0.007822
13,2438.08,1.36787,0.7472,0.92667,0.35701,0.29366,0.25084,0.12038,1.78509,1.60947,1.01672,0.007624,0.007624,0.007624
14,2625.72,1.3536,0.73515,0.92326,0.34876,0.28514,0.24565,0.12008,1.78904,1.62886,1.01447,0.007426,0.007426,0.007426
15,2810.13,1.34461,0.7282,0.92207,0.3508,0.28633,0.24728,0.12262,1.76256,1.6352,1.01171,0.007228,0.007228,0.007228
16,2995.45,1.33412,0.71963,0.92014,0.35299,0.29092,0.24305,0.11767,1.77101,1.63254,1.01379,0.00703,0.00703,0.00703
17,3180.88,1.32818,0.71323,0.9167,0.36097,0.28583,0.24905,0.12109,1.76795,1.59959,1.02052,0.006832,0.006832,0.006832
18,3365.86,1.31835,0.70783,0.91558,0.36299,0.29605,0.26174,0.12779,1.77289,1.60951,1.01736,0.006634,0.006634,0.006634
19,3552.11,1.31063,0.7025,0.91392,0.34824,0.28461,0.24656,0.12035,1.79854,1.68379,1.01969,0.006436,0.006436,0.006436
20,3739.85,1.30285,0.69512,0.91143,0.35734,0.27609,0.24364,0.12005,1.79544,1.64904,1.01819,0.006238,0.006238,0.006238
21,3931.2,1.29588,0.68982,0.90987,0.37438,0.28732,0.24572,0.11977,1.79257,1.67931,1.01821,0.00604,0.00604,0.00604
22,4116.84,1.2887,0.68498,0.90913,0.34162,0.28745,0.24064,0.11783,1.7875,1.7221,1.01464,0.005842,0.005842,0.005842
23,4301.21,1.28052,0.6795,0.90687,0.37061,0.28196,0.24587,0.1207,1.78646,1.69731,1.01619,0.005644,0.005644,0.005644
24,4485.52,1.27709,0.67658,0.90656,0.37346,0.28648,0.24532,0.12005,1.78397,1.67721,1.01573,0.005446,0.005446,0.005446
25,4670.9,1.27216,0.67214,0.90518,0.37461,0.2841,0.24419,0.11962,1.79789,1.72837,1.0172,0.005248,0.005248,0.005248
26,4859.34,1.26495,0.66765,0.90379,0.36264,0.27892,0.24052,0.1171,1.79508,1.71067,1.01501,0.00505,0.00505,0.00505
27,5047.54,1.2603,0.66325,0.90188,0.38177,0.27444,0.24446,0.11985,1.79751,1.71146,1.0154,0.004852,0.004852,0.004852
28,5236.54,1.25326,0.65903,0.90117,0.36049,0.27855,0.24251,0.11935,1.80322,1.73037,1.01768,0.004654,0.004654,0.004654
29,5424.94,1.24934,0.6565,0.90026,0.37309,0.2773,0.24334,0.12022,1.80119,1.74048,1.01694,0.004456,0.004456,0.004456
30,5612.66,1.24431,0.6534,0.89925,0.37056,0.27515,0.24126,0.11872,1.80579,1.73255,1.01711,0.004258,0.004258,0.004258
31,5802.3,1.23754,0.64917,0.89779,0.36851,0.28425,0.24308,0.11937,1.81296,1.72674,1.0188,0.00406,0.00406,0.00406
32,5987.9,1.23415,0.64624,0.89629,0.36353,0.2838,0.24245,0.1189,1.81711,1.7412,1.01875,0.003862,0.003862,0.003862
33,6174.19,1.22573,0.64134,0.89442,0.36453,0.27898,0.24135,0.11811,1.82007,1.75827,1.01923,0.003664,0.003664,0.003664
34,6361.19,1.22097,0.6386,0.89426,0.35789,0.28599,0.24249,0.11816,1.82494,1.75707,1.01981,0.003466,0.003466,0.003466
35,6548.68,1.21962,0.6366,0.89333,0.35678,0.28469,0.24163,0.11785,1.82403,1.75111,1.02007,0.003268,0.003268,0.003268
36,6735.67,1.2141,0.6338,0.89265,0.36227,0.28315,0.24222,0.11841,1.82206,1.73807,1.0206,0.00307,0.00307,0.00307
37,6922.66,1.20828,0.62958,0.89131,0.36761,0.28345,0.24218,0.11895,1.82095,1.73387,1.02062,0.002872,0.002872,0.002872
38,7110.76,1.2039,0.62687,0.89069,0.36573,0.27996,0.24094,0.11869,1.81973,1.73411,1.0204,0.002674,0.002674,0.002674
39,7298.79,1.19725,0.6229,0.88936,0.36823,0.27671,0.24097,0.11891,1.81824,1.73026,1.02074,0.002476,0.002476,0.002476
40,7486.04,1.19391,0.61985,0.88864,0.36508,0.27838,0.241,0.11879,1.82009,1.73298,1.02131,0.002278,0.002278,0.002278
41,7662.27,1.1562,0.59047,0.88716,0.36213,0.27742,0.24014,0.11832,1.82099,1.73799,1.02131,0.00208,0.00208,0.00208
42,7836.44,1.14039,0.58125,0.88343,0.36012,0.27678,0.23923,0.11798,1.82378,1.74329,1.0216,0.001882,0.001882,0.001882
43,8008.71,1.12881,0.57486,0.88066,0.35937,0.27572,0.23898,0.11791,1.82548,1.74792,1.02217,0.001684,0.001684,0.001684
44,8182.91,1.12311,0.57106,0.87964,0.36026,0.27521,0.23838,0.11771,1.8277,1.75323,1.02286,0.001486,0.001486,0.001486
45,8357.04,1.11555,0.56689,0.87793,0.35945,0.27447,0.23774,0.11734,1.82906,1.75961,1.02319,0.001288,0.001288,0.001288
46,8529.16,1.10585,0.56175,0.87626,0.35826,0.2742,0.23697,0.1169,1.82973,1.76194,1.0235,0.00109,0.00109,0.00109
