frame,class,confidence,x_center,y_center
0,4,0.8157674074172974,646,622
0,5,0.7395344972610474,572,646
0,5,0.5931872725486755,754,557
0,5,0.5541099905967712,903,491
0,4,0.46947798132896423,127,867
0,5,0.41847455501556396,782,589
0,4,0.3269844055175781,325,784
0,3,0.2662260830402374,149,898
0,4,0.2632822096347809,1101,317
1,4,0.7858704924583435,640,625
1,4,0.5978429317474365,137,906
1,4,0.4709749221801758,568,650
1,5,0.44900235533714294,568,650
1,4,0.4372076690196991,1099,318
1,5,0.37562596797943115,749,560
1,5,0.35069605708122253,906,488
1,4,0.2615049183368683,121,871
2,4,0.776761531829834,635,628
2,4,0.636185348033905,112,876
2,5,0.6268869042396545,564,652
2,4,0.5045627355575562,1098,318
2,4,0.436232328414917,125,914
2,5,0.2710447311401367,785,522
2,5,0.26338741183280945,746,562
3,4,0.8640050888061523,630,631
3,3,0.751546323299408,112,920
3,4,0.7470327019691467,106,881
3,5,0.6542969942092896,560,655
3,4,0.5536990165710449,1096,319
4,4,0.8513312935829163,625,634
4,4,0.7251142263412476,554,657
4,4,0.6787492036819458,95,884
4,4,0.3301774561405182,1096,320
4,5,0.2917109727859497,797,579
5,4,0.8062847852706909,620,637
5,4,0.7123677730560303,85,889
5,5,0.7042785286903381,550,660
5,3,0.647644579410553,87,934
5,4,0.4846535325050354,1095,320
5,5,0.3753819465637207,800,576
6,4,0.7134881615638733,615,640
6,3,0.6211563348770142,74,940
6,5,0.4976780414581299,804,574
6,4,0.46741795539855957,76,894
6,4,0.3894469439983368,546,663
6,5,0.31546878814697266,727,573
6,5,0.2851662337779999,546,663
7,3,0.8619147539138794,60,948
7,4,0.8381495475769043,609,644
7,4,0.6559617519378662,541,665
7,4,0.6038705110549927,68,899
7,5,0.43442970514297485,808,573
7,5,0.43255749344825745,541,666
7,4,0.3256024420261383,770,531
8,4,0.8540704250335693,604,648
8,3,0.8498305678367615,49,954
8,5,0.6426471471786499,536,669
8,5,0.3039417862892151,810,570
8,4,0.30359184741973877,536,669
9,4,0.8601740002632141,598,650
9,4,0.8321263790130615,35,962
9,4,0.7178714275360107,532,672
9,4,0.6463662385940552,715,581
9,4,0.5741709470748901,49,908
9,4,0.4468904733657837,73,921
9,5,0.2936133146286011,814,568
10,4,0.8712366223335266,593,653
10,4,0.7741798758506775,63,926
10,3,0.7688882946968079,26,969
10,4,0.7493257522583008,41,913
10,5,0.7009483575820923,526,674
10,4,0.4347064197063446,760,536
10,5,0.3701818287372589,819,565
10,5,0.27907881140708923,838,487
10,4,0.25871920585632324,819,566
11,4,0.8673099279403687,587,656
11,5,0.8330727815628052,521,677
11,3,0.7990851998329163,19,975
11,4,0.7824907898902893,53,931
11,5,0.5668279528617859,822,564
11,5,0.5337596535682678,836,489
11,4,0.4680643379688263,31,918
12,4,0.8452728986740112,581,660
12,4,0.8187418580055237,45,935
12,3,0.7222496867179871,12,980
12,5,0.7009003758430481,832,490
12,4,0.6764088869094849,517,680
12,5,0.5050152540206909,826,561
13,4,0.84678715467453,575,663
13,4,0.7772893309593201,34,941
13,5,0.7466863393783569,830,492
13,5,0.7361605763435364,511,683
13,5,0.6763028502464294,828,559
13,3,0.3821134865283966,5,988
14,4,0.8587672114372253,569,668
14,4,0.7226182222366333,26,945
14,5,0.7151536345481873,832,556
14,5,0.7138708829879761,827,494
14,4,0.7115408182144165,506,686
14,4,0.3168724477291107,745,546
15,4,0.8573787212371826,563,671
15,3,0.788391649723053,21,951
15,5,0.6198762655258179,825,496
15,4,0.46966132521629333,501,689
15,5,0.43062660098075867,501,689
15,5,0.4248868525028229,835,553
15,4,0.28843286633491516,1166,283
16,4,0.8649731874465942,557,674
16,5,0.7088077664375305,496,691
16,4,0.670254111289978,205,846
16,5,0.4952531158924103,821,499
16,5,0.37336450815200806,839,552
17,4,0.8680016994476318,551,677
17,5,0.7181662917137146,491,695
17,5,0.615429699420929,842,549
17,4,0.39803218841552734,491,694
17,5,0.3919258415699005,818,501
17,5,0.2532999813556671,11,960
18,4,0.8683187961578369,546,681
18,4,0.7197912335395813,485,698
18,5,0.5610449910163879,845,547
18,5,0.3197234272956848,815,502
19,4,0.8740062713623047,539,685
19,4,0.8481139540672302,480,701
19,5,0.417960524559021,812,503
19,4,0.2925964593887329,669,610
19,5,0.26089513301849365,848,546
20,4,0.863914966583252,532,689
20,4,0.5692510604858398,474,705
20,4,0.43493330478668213,663,613
20,5,0.26113224029541016,961,451
20,1,0.2552519142627716,876,506
21,4,0.8649494051933289,528,692
21,5,0.49786901473999023,469,707
21,4,0.4143836200237274,470,707
21,4,0.3659292161464691,723,560
21,4,0.3484777510166168,166,871
21,4,0.2659956216812134,807,507
22,4,0.878934383392334,520,696
22,5,0.6521100997924805,465,711
22,5,0.5108599066734314,803,509
22,4,0.373570054769516,157,875
22,5,0.3310318887233734,966,447
22,4,0.31659311056137085,654,619
22,4,0.2833409011363983,717,563
23,4,0.8674742579460144,514,700
23,4,0.7788747549057007,458,714
23,4,0.7749927043914795,149,880
23,5,0.6369445323944092,800,510
23,5,0.35500019788742065,967,446
23,4,0.32652702927589417,649,623
23,5,0.27123868465423584,953,470
24,4,0.8633110523223877,506,705
24,4,0.8532454371452332,141,884
24,4,0.7811843752861023,452,717
24,4,0.5017058849334717,643,626
24,4,0.49484601616859436,711,568
24,5,0.4020506739616394,865,534
24,5,0.3431456685066223,797,513
25,4,0.8690792322158813,500,708
25,4,0.8227778077125549,132,889
25,4,0.6165165901184082,447,721
25,4,0.5640149712562561,707,570
25,5,0.427458792924881,868,532
26,4,0.8864526748657227,494,712
26,4,0.8305404186248779,124,894
26,4,0.794967532157898,441,724
26,5,0.351419061422348,870,530
27,4,0.8618872165679932,487,716
27,4,0.8257120847702026,115,898
27,4,0.7068160772323608,434,728
27,4,0.47506260871887207,787,521
27,5,0.3085618317127228,628,636
27,5,0.2735351622104645,873,529
28,4,0.8750565648078918,479,720
28,4,0.8399413228034973,427,731
28,4,0.7649192214012146,106,903
28,4,0.7225059866905212,783,522
29,4,0.8687276840209961,473,724
29,4,0.8357629776000977,422,734
29,4,0.8215751051902771,97,908
29,4,0.6738583445549011,780,524
30,4,0.87639319896698,467,728
30,4,0.6405851244926453,416,737
30,4,0.6353428363800049,777,526
30,4,0.4733317792415619,688,582
31,4,0.8544630408287048,458,733
31,4,0.847274124622345,411,740
31,4,0.6396734118461609,686,584
31,4,0.6096680760383606,604,650
31,4,0.37799885869026184,774,529
31,5,0.2792759835720062,774,529
31,1,0.2693607211112976,1058,382
32,4,0.862342357635498,451,737
32,4,0.8210275769233704,405,743
32,4,0.608349621295929,598,654
32,4,0.543853759765625,67,924
32,4,0.31102606654167175,770,530
32,4,0.26267650723457336,682,586
33,4,0.8718593716621399,443,741
33,4,0.8096811771392822,593,656
33,4,0.7359445691108704,400,747
33,4,0.6549443006515503,58,929
33,4,0.5909903645515442,677,588
33,5,0.275683730840683,767,532
34,4,0.8605559468269348,436,745
34,4,0.8127803802490234,588,659
34,4,0.6433568596839905,393,749
34,4,0.6037214994430542,674,591
34,4,0.5775142312049866,48,934
34,1,0.40057530999183655,1063,379
34,4,0.2781912088394165,986,394
35,4,0.8593887686729431,428,749
35,4,0.8402813673019409,385,755
35,4,0.6923454999923706,40,938
35,4,0.505118191242218,582,663
35,1,0.4722142815589905,934,441
35,4,0.40637877583503723,985,395
35,4,0.33688420057296753,669,594
36,4,0.8672317862510681,421,753
36,4,0.8586899042129517,381,758
36,1,0.6114504337310791,932,442
36,4,0.5052574276924133,576,667
36,4,0.44383201003074646,31,943
36,5,0.4129572808742523,31,943
36,4,0.35399284958839417,983,396
37,4,0.8739428520202637,414,758
37,4,0.8575320839881897,374,761
37,4,0.6932888627052307,26,948
37,4,0.6008815169334412,569,671
37,1,0.48121216893196106,929,444
37,4,0.4034087061882019,661,598
37,4,0.2895689308643341,982,397
38,4,0.8726915717124939,406,762
38,4,0.8458765745162964,368,764
38,4,0.6987941265106201,21,952
38,1,0.6695463061332703,927,446
38,4,0.47056886553764343,564,675
39,4,0.8681308627128601,399,766
39,4,0.8459742665290833,360,768
39,4,0.8401209712028503,558,678
39,1,0.46252793073654175,924,448
40,4,0.8749339580535889,390,771
40,4,0.8409507870674133,354,771
40,4,0.790132999420166,29,1029
40,4,0.5859125852584839,550,682
40,4,0.5563125014305115,11,959
40,1,0.2889002859592438,921,449
40,1,0.25628283619880676,1074,372
41,4,0.8500983119010925,382,776
41,4,0.8415318131446838,348,775
41,4,0.8263202905654907,39,1021
41,4,0.676906943321228,544,685
41,5,0.41914102435112,7,962
41,4,0.32369568943977356,644,609
41,4,0.3144846260547638,596,619
42,4,0.8390727639198303,373,780
42,4,0.8037115931510925,340,779
42,3,0.7472773194313049,53,1013
42,4,0.5339841246604919,639,611
42,1,0.5040158629417419,915,453
42,4,0.4498264193534851,537,689
42,5,0.3219633996486664,735,552
42,1,0.2531837522983551,1076,369
43,4,0.8385127186775208,365,785
43,4,0.831518828868866,334,782
43,1,0.6663303375244141,913,454
43,4,0.597964882850647,68,1004
43,4,0.5709187388420105,531,693
43,4,0.4792920649051666,635,613
44,4,0.847879946231842,357,790
44,4,0.7792695164680481,327,785
44,1,0.6883057355880737,911,456
44,4,0.6351048946380615,82,997
44,4,0.5150148868560791,631,616
44,4,0.2613167464733124,524,697
45,4,0.8296446204185486,347,794
45,4,0.8065542578697205,321,790
45,4,0.7688121795654297,627,619
45,1,0.5792209506034851,909,458
45,4,0.47496625781059265,1049,358
45,4,0.3518272340297699,94,990
45,4,0.3033914566040039,581,628
46,4,0.8471375703811646,338,799
46,4,0.8119595050811768,622,621
46,1,0.7051509022712708,906,460
46,4,0.5724833011627197,1047,358
46,4,0.4796179533004761,109,982
46,1,0.4405423402786255,965,477
46,4,0.3822968304157257,316,792
46,4,0.3589036464691162,511,705
46,1,0.2733110189437866,922,491
47,4,0.7973617911338806,329,803
47,4,0.7754613757133484,618,624
47,4,0.7247605323791504,505,708
47,4,0.6186214089393616,124,975
47,1,0.5207191109657288,904,462
47,1,0.4800630211830139,966,477
47,4,0.2804287075996399,571,633
48,4,0.8418457508087158,614,627
48,4,0.7038258910179138,498,713
48,4,0.6801823377609253,321,808
48,1,0.5860412120819092,968,476
48,4,0.5521911978721619,567,636
48,4,0.5498058795928955,137,967
48,5,0.32560890913009644,711,567
48,1,0.3190716803073883,901,463
49,4,0.8080068826675415,609,630
49,4,0.7908043265342712,151,959
49,4,0.66475909948349,491,717
49,4,0.6235407590866089,303,811
49,1,0.43422019481658936,970,475
49,5,0.40906402468681335,707,568
49,4,0.3715084195137024,20,1073
50,4,0.7984530329704285,164,952
50,4,0.7926201224327087,605,632
50,4,0.7594372034072876,483,721
50,4,0.7137832045555115,295,813
50,4,0.585129976272583,300,817
50,4,0.3854082226753235,25,1070
50,5,0.38047072291374207,704,571
50,4,0.3063647747039795,959,410
51,4,0.8694937825202942,176,945
51,4,0.8457056283950806,600,635
51,4,0.7293923497200012,476,725
51,5,0.665637731552124,700,574
51,4,0.6222916841506958,286,815
51,4,0.46247732639312744,31,1066
51,4,0.38046175241470337,958,411
51,4,0.2841551601886749,291,821
52,4,0.8306993246078491,469,729
52,4,0.8170441389083862,189,938
52,4,0.8065150380134583,596,638
52,4,0.7883967757225037,37,1064
