frame,class,confidence,x_center,y_center
0,4,0.8343934416770935,360,653
0,4,0.8315003514289856,1079,486
0,4,0.8303305506706238,1786,492
0,4,0.8234190344810486,1272,647
0,4,0.8015374541282654,1689,526
0,4,0.7801136374473572,1523,455
0,4,0.7389855980873108,646,535
0,4,0.7191128134727478,788,686
0,4,0.7150357365608215,1027,642
0,4,0.6507883071899414,1582,643
0,4,0.5323101878166199,406,463
0,4,0.2965378761291504,743,493
1,4,0.8480120301246643,1776,492
1,4,0.8321205973625183,371,653
1,4,0.8308817744255066,1070,486
1,4,0.8019424676895142,1678,525
1,4,0.7304068207740784,1283,647
1,4,0.7073581218719482,1515,457
1,4,0.7049311995506287,630,534
1,4,0.693803071975708,798,686
1,4,0.5928500890731812,1512,450
1,4,0.513221025466919,397,463
1,4,0.41392961144447327,1592,643
2,4,0.8504305481910706,382,653
2,4,0.84499591588974,1766,492
2,4,0.8057196736335754,1060,486
2,4,0.7854336500167847,1507,456
2,4,0.714378833770752,808,686
2,4,0.6422845721244812,1666,525
2,4,0.6221643090248108,388,462
2,4,0.6159422993659973,614,535
2,4,0.5458132028579712,1603,643
2,4,0.5258667469024658,1293,647
3,4,0.8505915403366089,1756,492
3,4,0.807349681854248,1059,642
3,4,0.7957944869995117,1655,525
3,4,0.7918094396591187,392,654
3,4,0.7797838449478149,1051,486
3,4,0.7475306391716003,1498,456
3,4,0.6764066219329834,379,463
3,4,0.6753716468811035,1305,649
3,4,0.6169529557228088,599,534
3,4,0.5716834664344788,1613,644
3,4,0.5019192695617676,817,686
3,4,0.3762931227684021,712,493
4,4,0.8493832945823669,1747,492
4,4,0.8304075002670288,1071,643
4,4,0.8169838786125183,1041,486
4,4,0.8042569756507874,1488,456
4,4,0.7652859687805176,403,655
4,4,0.7261063456535339,1645,525
4,4,0.65911465883255,701,493
4,4,0.5968531370162964,584,534
4,4,0.4965885281562805,371,463
4,4,0.4358825385570526,1316,650
5,4,0.8512774705886841,1737,492
5,4,0.8179644346237183,1032,486
5,4,0.8084768652915955,1633,525
5,4,0.746469259262085,1479,455
5,4,0.6977617740631104,362,463
5,4,0.6469430923461914,415,655
5,4,0.6182685494422913,691,494
5,4,0.47509968280792236,1081,643
5,4,0.40516048669815063,568,534
5,4,0.3075079917907715,1325,648
5,4,0.30128657817840576,1635,642
5,4,0.26213282346725464,835,686
6,4,0.8663590550422668,1727,492
6,4,0.8094539642333984,1023,487
6,4,0.7747130990028381,353,462
6,4,0.7650003433227539,680,494
6,4,0.7494634389877319,1470,457
6,4,0.7284906506538391,426,655
6,4,0.5778403878211975,1622,524
6,4,0.5015170574188232,553,533
6,4,0.4724303185939789,1645,643
6,4,0.4497072100639343,845,686
6,4,0.35566428303718567,1090,642
7,4,0.8606880307197571,1718,492
7,4,0.8378246426582336,1014,486
7,4,0.7980911731719971,670,494
7,4,0.7852066159248352,1460,457
7,4,0.7501139640808105,344,463
7,4,0.642044186592102,1611,525
7,4,0.5305429100990295,854,686
7,4,0.42439427971839905,538,533
7,4,0.41011103987693787,1101,643
8,4,0.8390551209449768,1709,492
8,4,0.8375457525253296,336,462
8,4,0.8097835779190063,1004,487
8,4,0.7765921354293823,522,533
8,4,0.6955638527870178,660,494
8,4,0.5753780603408813,1451,456
8,4,0.5410218834877014,1666,642
8,4,0.5193694233894348,447,655
8,4,0.4855761229991913,1112,642
8,4,0.46655720472335815,864,686
8,4,0.4123884439468384,1358,649
9,4,0.8491404056549072,1698,492
9,4,0.8480149507522583,326,462
9,4,0.8300502300262451,507,532
9,4,0.8168971538543701,998,487
9,4,0.7764753699302673,648,495
9,4,0.7400928735733032,458,655
9,4,0.7160763144493103,1123,643
9,4,0.7038314342498779,1589,525
9,4,0.6447069048881531,1442,458
9,4,0.5594818592071533,1368,648
9,4,0.5102038383483887,1676,642
10,4,0.8472273349761963,1689,492
10,4,0.8279037475585938,318,462
10,4,0.8045875430107117,490,532
10,4,0.7662659883499146,988,487
10,4,0.7641426920890808,1378,646
10,4,0.7604990601539612,1133,643
10,4,0.7569912672042847,469,655
10,4,0.7399787902832031,637,494
10,4,0.6429721117019653,1432,459
10,4,0.6025266647338867,1578,525
11,4,0.8396151065826416,1680,492
11,4,0.8370108604431152,1388,646
11,4,0.8315438628196716,475,533
11,4,0.8236678242683411,978,487
11,4,0.7809393405914307,1566,525
11,4,0.7741904854774475,308,462
11,4,0.7647679448127747,480,656
11,4,0.762249767780304,1143,643
11,4,0.6114675998687744,893,686
11,4,0.5905742645263672,1423,460
11,4,0.5005722045898438,627,495
11,4,0.48512348532676697,1912,495
11,4,0.3842654526233673,1697,641
12,4,0.844228982925415,1670,493
12,4,0.8419030904769897,460,533
12,4,0.8244958519935608,299,462
12,4,0.8174862265586853,1555,525
12,4,0.7816648483276367,969,487
12,4,0.7628008127212524,1154,643
12,4,0.721333384513855,1399,647
12,4,0.6520618796348572,903,686
12,4,0.6497848629951477,1908,497
12,4,0.6324865818023682,1414,456
12,4,0.44839540123939514,491,655
13,4,0.8442683219909668,1660,493
13,4,0.831052303314209,290,462
13,4,0.8193618059158325,1543,525
13,4,0.8187042474746704,1164,642
13,4,0.7957033514976501,444,533
13,4,0.7358040809631348,1903,498
13,4,0.7221230268478394,502,655
13,4,0.6910092830657959,959,487
13,4,0.690649151802063,1404,457
13,4,0.6465618014335632,913,686
13,4,0.6105092167854309,1411,647
14,4,0.8309855461120605,1651,493
14,4,0.8077667951583862,281,462
14,4,0.8045574426651001,1175,642
14,4,0.7965167164802551,1532,525
14,4,0.7861218452453613,1421,646
14,4,0.7390470504760742,1899,498
14,4,0.7078170776367188,949,487
14,4,0.6867583394050598,923,687
14,4,0.6853558421134949,429,532
