frame,class,label,confidence,x_center,y_center
0,1,Fast,0.8631823658943176,934,667
0,1,Fast,0.8587595224380493,523,755
0,1,Fast,0.8047810792922974,1171,411
0,1,Fast,0.6924147605895996,804,595
0,1,Fast,0.3422936499118805,1014,488
0,1,Fast,0.3342885375022888,1016,519
1,1,Fast,0.8837535381317139,515,759
1,1,Fast,0.8749699592590332,942,661
1,1,Fast,0.8591115474700928,1167,413
1,1,Fast,0.8513616919517517,581,810
1,1,Fast,0.7385924458503723,1012,491
1,1,Fast,0.7366191744804382,798,598
1,1,Fast,0.7250326871871948,1010,523
2,1,Fast,0.8847674131393433,505,765
2,1,Fast,0.8767632842063904,567,819
2,1,Fast,0.8587490916252136,950,654
2,1,Fast,0.8343948125839233,1164,416
2,1,Fast,0.7863872051239014,793,600
2,1,Fast,0.7126493453979492,1004,528
2,1,Fast,0.6608850955963135,1005,495
2,1,Fast,0.6052913069725037,574,1063
3,1,Fast,0.8833429217338562,497,769
3,1,Fast,0.8724138140678406,551,828
3,1,Fast,0.8615277409553528,957,648
3,1,Fast,0.8229895234107971,1160,418
3,1,Fast,0.7999457120895386,999,497
3,1,Fast,0.796228289604187,998,532
3,1,Fast,0.7429582476615906,787,604
3,1,Fast,0.6643238663673401,588,1057
4,1,Fast,0.8686035871505737,488,775
4,1,Fast,0.8550435304641724,965,643
4,1,Fast,0.8309478759765625,538,838
4,1,Fast,0.8060114979743958,994,500
4,1,Fast,0.8043590784072876,782,606
4,1,Fast,0.7292600274085999,993,536
4,1,Fast,0.7229382395744324,1156,420
4,1,Fast,0.6105419397354126,602,1051
5,1,Fast,0.8672332167625427,478,781
5,1,Fast,0.8598888516426086,986,540
5,1,Fast,0.8469228148460388,972,636
5,1,Fast,0.8278533220291138,524,847
5,1,Fast,0.8153631687164307,989,504
5,1,Fast,0.8133688569068909,777,610
5,1,Fast,0.6947680115699768,611,1046
6,1,Fast,0.8736194968223572,469,786
6,1,Fast,0.8708207011222839,980,545
6,1,Fast,0.8110935091972351,509,857
6,1,Fast,0.7885555028915405,771,613
6,1,Fast,0.7773056626319885,985,507
6,1,Fast,0.7488519549369812,980,631
6,2,Slow,0.47805485129356384,1150,425
7,1,Fast,0.8745171427726746,975,549
7,1,Fast,0.8579981923103333,460,791
7,1,Fast,0.8506571054458618,980,510
7,1,Fast,0.8484525680541992,989,625
7,1,Fast,0.7616521120071411,767,616
7,1,Fast,0.6018220782279968,494,868
8,1,Fast,0.8756765127182007,969,553
8,1,Fast,0.8507459163665771,975,513
