frame,class,label,confidence,x_center,y_center
50,1,Fast,0.4884369671344757,1304,498
51,1,Fast,0.31518033146858215,1315,498
54,1,Fast,0.43668505549430847,1348,499
60,1,Fast,0.5483206510543823,1411,498
61,1,Fast,0.3734959363937378,1422,498
62,1,Fast,0.5155467987060547,1435,499
64,1,Fast,0.33888933062553406,1454,498
67,1,Fast,0.5086544156074524,1489,499
69,1,Fast,0.36178070306777954,589,499
88,1,Fast,0.32721641659736633,1711,498
90,0,VRU,0.32818955183029175,1030,630
94,0,VRU,0.3760460913181305,1030,630
112,1,Fast,0.37116000056266785,719,486
122,1,Fast,0.43493470549583435,1187,516
123,1,Fast,0.3411780595779419,1199,517
132,1,Fast,0.39904123544692993,1298,519
133,1,Fast,0.31172123551368713,1310,519
134,1,Fast,0.4015268087387085,1322,520
253,1,Fast,0.5482456684112549,1291,491
296,1,Fast,0.37237122654914856,1289,489
298,1,Fast,0.33128005266189575,1313,489
301,1,Fast,0.425586074590683,1348,489
309,1,Fast,0.41156142950057983,1441,488
324,1,Fast,0.30492526292800903,1615,488
339,1,Fast,0.3447064161300659,1316,345
347,1,Fast,0.528114914894104,1209,346
350,1,Fast,0.6755330562591553,1170,346
370,1,Fast,0.463655948638916,1344,298
372,1,Fast,0.41221004724502563,878,348
382,1,Fast,0.49477049708366394,746,348
383,1,Fast,0.36755824089050293,1192,298
384,1,Fast,0.3782472312450409,1180,298
385,1,Fast,0.40177616477012634,1168,298
395,1,Fast,0.3937273323535919,465,303
400,1,Fast,0.33023905754089355,818,101
401,1,Fast,0.36899682879447937,818,100
402,1,Fast,0.3777439594268799,818,100
403,1,Fast,0.3512658476829529,818,100
404,1,Fast,0.3302196264266968,818,101
405,1,Fast,0.30544841289520264,818,100
408,1,Fast,0.41830942034721375,897,299
426,1,Fast,0.3571110963821411,768,344
431,1,Fast,0.5825299024581909,624,299
432,1,Fast,0.6889836192131042,612,299
432,1,Fast,0.3903038799762726,694,345
433,1,Fast,0.32922112941741943,601,300
434,1,Fast,0.6284875869750977,588,300
437,1,Fast,0.7200896739959717,633,345
468,1,Fast,0.43997830152511597,1345,297
480,1,Fast,0.31178906559944153,816,102
480,0,VRU,0.3035389184951782,1087,649
481,0,VRU,0.39632827043533325,1087,649
481,1,Fast,0.3892371356487274,1204,297
481,1,Fast,0.35890519618988037,817,102
482,1,Fast,0.5091847777366638,817,102
483,1,Fast,0.5114251971244812,817,102
483,1,Fast,0.3834158480167389,1183,298
483,0,VRU,0.325687050819397,1087,649
484,1,Fast,0.5643864274024963,816,102
484,0,VRU,0.3801327049732208,1087,649
485,1,Fast,0.5823147296905518,816,102
485,0,VRU,0.3739229440689087,1087,649
486,1,Fast,0.5969917178153992,816,102
486,0,VRU,0.36407071352005005,1087,649
487,1,Fast,0.5423395037651062,816,102
487,0,VRU,0.455271452665329,1087,649
488,1,Fast,0.580445408821106,816,101
488,0,VRU,0.4385250210762024,1088,649
489,1,Fast,0.6261250376701355,816,101
489,0,VRU,0.4510580003261566,1088,649
490,0,VRU,0.6132969260215759,1088,649
490,1,Fast,0.5502583384513855,816,101
491,1,Fast,0.6102969646453857,816,101
491,0,VRU,0.6006873846054077,1088,648
492,1,Fast,0.36740681529045105,1786,253
494,1,Fast,0.39203718304634094,1771,253
494,1,Fast,0.3575701415538788,1605,293
505,2,Slow,0.3484645485877991,816,101
506,2,Slow,0.3846362829208374,816,101
507,1,Fast,0.5081949234008789,919,300
507,2,Slow,0.45123299956321716,816,101
508,1,Fast,0.47238069772720337,908,299
508,2,Slow,0.4363973140716553,816,101
509,1,Fast,0.5125824809074402,897,300
512,1,Fast,0.35851842164993286,1638,254
513,1,Fast,0.4768047034740448,1631,254
514,1,Fast,0.6239644289016724,1624,254
515,1,Fast,0.3065347671508789,1616,255
516,1,Fast,0.651328444480896,1609,255
517,1,Fast,0.5361315011978149,1601,255
518,1,Fast,0.6649730205535889,1595,255
519,1,Fast,0.38312187790870667,1587,255
520,1,Fast,0.48253291845321655,1579,254
521,1,Fast,0.5706249475479126,765,300
522,1,Fast,0.3317883610725403,817,101
522,1,Fast,0.31659093499183655,754,301
523,1,Fast,0.30424028635025024,817,101
524,1,Fast,0.3344067633152008,817,101
525,1,Fast,0.3160145878791809,817,101
526,1,Fast,0.34469524025917053,817,101
527,1,Fast,0.36255958676338196,817,101
529,1,Fast,0.444491446018219,676,301
531,1,Fast,0.41049885749816895,654,302
532,1,Fast,0.4549412131309509,642,301
534,1,Fast,0.5072305798530579,620,302
566,1,Fast,0.3038173019886017,1240,259
568,1,Fast,0.4158976674079895,1225,258
569,1,Fast,0.6922548413276672,1217,258
570,1,Fast,0.5888309478759766,1210,258
571,1,Fast,0.6112136244773865,1204,258
572,1,Fast,0.46801531314849854,1196,258
573,1,Fast,0.5116770267486572,1189,258
574,1,Fast,0.4517587125301361,1181,258
581,1,Fast,0.5032300353050232,1130,259
582,1,Fast,0.6039153933525085,1123,260
583,1,Fast,0.4831806719303131,1116,260
587,1,Fast,0.3005467653274536,664,542
589,1,Fast,0.338703989982605,1686,259
595,1,Fast,0.3365333378314972,1636,260
596,1,Fast,0.3355737328529358,1628,260
597,1,Fast,0.37246912717819214,1621,260
598,1,Fast,0.31534093618392944,1613,260
599,1,Fast,0.35100534558296204,1605,261
602,1,Fast,0.3963371515274048,1582,262
603,1,Fast,0.34698230028152466,1574,262
624,1,Fast,0.44898492097854614,813,262
630,1,Fast,0.48907580971717834,1168,536
631,1,Fast,0.62839674949646,1180,535
632,1,Fast,0.3314526677131653,1192,535
633,1,Fast,0.3994326591491699,748,263
634,1,Fast,0.7027014493942261,1215,535
634,1,Fast,0.317829430103302,740,263
635,1,Fast,0.472516268491745,1227,535
638,1,Fast,0.5465116500854492,1260,534
639,1,Fast,0.37394535541534424,1272,534
640,1,Fast,0.41653376817703247,1284,534
641,1,Fast,0.750839352607727,1297,534
642,1,Fast,0.7748753428459167,1309,533
643,1,Fast,0.8000773787498474,1320,533
644,1,Fast,0.7408692836761475,1332,533
645,1,Fast,0.44351401925086975,1343,533
646,1,Fast,0.6931830048561096,1355,533
647,1,Fast,0.5476393699645996,1366,533
648,1,Fast,0.3065856397151947,1377,533
651,1,Fast,0.4818079471588135,1411,532
668,1,Fast,0.3718318045139313,491,265
669,1,Fast,0.5262175798416138,485,265
670,1,Fast,0.3158293068408966,477,265
672,1,Fast,0.3219698667526245,1530,436
673,1,Fast,0.6755330562591553,1543,435
673,0,VRU,0.44203850626945496,1538,423
674,1,Fast,0.5190442204475403,1557,435
675,1,Fast,0.3053128719329834,1572,435
676,1,Fast,0.344603031873703,816,101
677,1,Fast,0.3644810616970062,816,102
678,1,Fast,0.33759358525276184,561,532
680,1,Fast,0.3169423043727875,585,532
681,1,Fast,0.3849842846393585,596,531
691,1,Fast,0.31701716780662537,714,531
692,1,Fast,0.34423792362213135,726,532
693,1,Fast,0.4469763934612274,738,533
694,1,Fast,0.41404345631599426,749,532
695,1,Fast,0.5697923302650452,762,532
696,2,Slow,0.5613815188407898,157,93
696,1,Fast,0.4294366240501404,774,532
697,1,Fast,0.5495575070381165,786,533
697,2,Slow,0.5032224059104919,157,93
698,2,Slow,0.5501381754875183,157,93
698,1,Fast,0.4309563636779785,797,534
699,2,Slow,0.4797300696372986,157,93
699,1,Fast,0.4003060460090637,809,533
700,2,Slow,0.5081577301025391,157,93
701,2,Slow,0.4562039077281952,157,93
701,1,Fast,0.3196178674697876,831,531
702,1,Fast,0.688289225101471,844,532
702,2,Slow,0.5591464042663574,157,93
703,1,Fast,0.4845115542411804,856,532
703,2,Slow,0.37758371233940125,156,93
704,1,Fast,0.44891059398651123,868,530
704,2,Slow,0.32569122314453125,156,93
705,1,Fast,0.6578143239021301,880,530
705,2,Slow,0.41777104139328003,156,93
706,1,Fast,0.7660139203071594,892,530
706,2,Slow,0.4297962784767151,156,93
707,1,Fast,0.7462238669395447,904,530
707,2,Slow,0.4478486478328705,156,93
708,1,Fast,0.5556928515434265,916,530
709,1,Fast,0.5992300510406494,927,530
709,1,Fast,0.3698452413082123,756,273
710,1,Fast,0.36587390303611755,939,529
711,1,Fast,0.5263682007789612,951,530
711,2,Slow,0.36715590953826904,157,94
712,1,Fast,0.32377323508262634,962,528
712,2,Slow,0.31793105602264404,156,94
714,2,Slow,0.4284701645374298,156,94
715,2,Slow,0.3120255470275879,156,94
716,1,Fast,0.5294496417045593,1011,527
716,2,Slow,0.3492485582828522,156,94
717,1,Fast,0.553486168384552,1022,526
718,1,Fast,0.4514608681201935,1035,527
719,1,Fast,0.40290671586990356,1046,525
720,1,Fast,0.4877510666847229,1058,526
721,1,Fast,0.4499395489692688,1071,526
722,1,Fast,0.5593183636665344,1082,526
723,1,Fast,0.5253124833106995,1094,525
724,1,Fast,0.6394757628440857,1104,524
725,1,Fast,0.6175880432128906,1118,525
725,1,Fast,0.44106611609458923,635,273
726,1,Fast,0.7576040625572205,1130,523
727,1,Fast,0.7728093862533569,1141,524
727,1,Fast,0.4210198223590851,621,273
728,1,Fast,0.7549545764923096,1154,525
728,1,Fast,0.3142681419849396,428,266
729,1,Fast,0.7831675410270691,1165,524
