frame,track_id,class,x_center,y_center,width,height
0,443734,1,983.0,780.0,50,50
0,443735,1,1013.0,744.0,50,50
0,443736,1,835.0,879.0,50,50
0,443737,1,1663.0,742.0,50,50
0,443738,1,1739.0,815.0,50,50
0,443739,1,1467.0,571.0,50,50
0,443740,1,1574.0,552.0,50,50
0,443741,1,841.0,531.0,50,50
0,443742,1,1077.0,805.0,50,50
0,443743,1,1554.0,489.0,50,50
0,443744,1,1548.0,639.0,50,50
0,443745,1,1618.0,717.0,50,50
0,443746,1,1635.0,440.0,50,50
0,443747,0,1551.0,519.0,50,50
0,443748,1,1659.0,463.0,50,50
0,443749,1,905.0,320.0,50,50
0,443750,1,1604.0,440.0,50,50
0,443751,1,1729.0,920.0,50,50
0,443752,1,1561.0,566.0,50,50
0,443753,1,1532.0,624.0,50,50
0,443754,1,832.0,301.0,50,50
1,443734,1,980.0,773.0,50,50
1,443735,1,1010.0,739.0,50,50
1,443736,1,835.0,883.0,50,50
1,443737,1,1663.0,742.0,50,50
1,443738,1,1739.0,815.0,50,50
1,443739,1,1467.0,571.0,50,50
1,443740,1,1574.0,552.0,50,50
1,443741,1,841.0,534.0,50,50
1,443742,1,1074.0,800.0,50,50
1,443743,1,1554.0,489.0,50,50
1,443744,1,1548.0,639.0,50,50
1,443745,1,1618.0,717.0,50,50
1,443746,1,1635.0,440.0,50,50
1,443747,0,1551.0,519.0,50,50
1,443748,1,1659.0,463.0,50,50
1,443749,1,904.0,319.0,50,50
1,443750,1,1604.0,440.0,50,50
1,443751,1,1729.0,920.0,50,50
1,443752,1,1561.0,566.0,50,50
1,443753,1,1532.0,624.0,50,50
1,443754,1,831.0,302.0,50,50
2,443734,1,977.0,768.0,50,50
2,443735,1,1008.0,733.0,50,50
2,443736,1,836.0,888.0,50,50
2,443737,1,1663.0,742.0,50,50
2,443738,1,1739.0,815.0,50,50
2,443739,1,1467.0,570.0,50,50
2,443740,1,1574.0,552.0,50,50
2,443741,1,841.0,537.0,50,50
2,443742,1,1072.0,795.0,50,50
2,443743,1,1554.0,489.0,50,50
2,443744,1,1548.0,639.0,50,50
2,443745,1,1618.0,717.0,50,50
2,443746,1,1635.0,440.0,50,50
2,443747,0,1551.0,519.0,50,50
2,443748,1,1659.0,463.0,50,50
2,443749,1,904.0,317.0,50,50
2,443750,1,1604.0,440.0,50,50
2,443751,1,1730.0,920.0,50,50
2,443752,1,1561.0,566.0,50,50
2,443753,1,1532.0,624.0,50,50
2,443781,1,921.0,503.0,50,50
3,443734,1,975.0,760.0,50,50
3,443735,1,1005.0,727.0,50,50
3,443736,1,837.0,894.0,50,50
3,443737,1,1663.0,742.0,50,50
3,443738,1,1739.0,815.0,50,50
3,443739,1,1467.0,569.0,50,50
3,443740,1,1574.0,552.0,50,50
3,443741,1,842.0,540.0,50,50
3,443743,1,1554.0,489.0,50,50
3,443744,1,1548.0,639.0,50,50
3,443745,1,1618.0,717.0,50,50
3,443746,1,1635.0,440.0,50,50
3,443747,0,1551.0,519.0,50,50
3,443748,1,1659.0,463.0,50,50
3,443749,-1,904.0,315.0,50,50
3,443750,1,1604.0,440.0,50,50
3,443751,1,1730.0,920.0,50,50
3,443752,1,1561.0,565.0,50,50
3,443753,1,1532.0,624.0,50,50
3,443781,1,920.0,500.0,50,50
3,443808,1,1001.0,627.0,50,50
3,443810,1,1536.0,440.0,50,50
3,443754,2,830.0,305.0,50,50
4,443734,1,972.0,752.0,50,50
4,443735,1,1003.0,721.0,50,50
4,443736,1,839.0,899.0,50,50
4,443737,1,1663.0,742.0,50,50
4,443738,1,1739.0,815.0,50,50
4,443739,1,1467.0,569.0,50,50
4,443740,1,1574.0,552.0,50,50
4,443741,1,842.0,544.0,50,50
4,443743,1,1554.0,489.0,50,50
4,443744,1,1548.0,639.0,50,50
4,443745,1,1618.0,717.0,50,50
4,443746,1,1635.0,440.0,50,50
4,443747,0,1551.0,519.0,50,50
4,443748,1,1659.0,463.0,50,50
4,443750,1,1604.0,441.0,50,50
4,443751,1,1730.0,920.0,50,50
4,443752,1,1561.0,564.0,50,50
4,443753,1,1532.0,624.0,50,50
4,443781,1,919.0,497.0,50,50
4,443808,1,1000.0,624.0,50,50
4,443810,1,1536.0,440.0,50,50
4,443835,1,484.0,425.0,50,50
4,443742,1,1067.0,782.0,50,50
5,443734,1,969.0,744.0,50,50
5,443735,1,1001.0,714.0,50,50
5,443736,1,841.0,903.0,50,50
5,443737,1,1663.0,742.0,50,50
5,443738,1,1739.0,815.0,50,50
5,443739,1,1467.0,569.0,50,50
5,443740,1,1574.0,552.0,50,50
5,443741,1,842.0,548.0,50,50
5,443743,1,1554.0,489.0,50,50
5,443744,1,1548.0,639.0,50,50
5,443745,1,1618.0,717.0,50,50
5,443746,1,1636.0,440.0,50,50
5,443747,0,1551.0,519.0,50,50
5,443748,1,1659.0,463.0,50,50
5,443750,1,1604.0,441.0,50,50
5,443751,1,1729.0,920.0,50,50
5,443752,1,1560.0,564.0,50,50
5,443753,1,1532.0,624.0,50,50
5,443781,1,919.0,494.0,50,50
5,443808,1,998.0,620.0,50,50
5,443810,1,1537.0,440.0,50,50
5,443862,1,830.0,247.0,50,50
5,443742,1,1065.0,777.0,50,50
5,443749,1,905.0,312.0,50,50
6,443734,1,967.0,738.0,50,50
6,443735,1,999.0,709.0,50,50
6,443736,1,842.0,909.0,50,50
6,443737,1,1663.0,742.0,50,50
6,443738,1,1739.0,815.0,50,50
6,443739,1,1467.0,569.0,50,50
6,443740,1,1574.0,552.0,50,50
6,443741,1,843.0,551.0,50,50
6,443743,1,1554.0,489.0,50,50
6,443744,1,1548.0,639.0,50,50
6,443745,1,1617.0,716.0,50,50
6,443746,1,1636.0,440.0,50,50
6,443747,0,1551.0,520.0,50,50
6,443748,1,1659.0,463.0,50,50
6,443750,1,1605.0,441.0,50,50
6,443751,-1,1724.0,920.0,50,50
6,443752,1,1560.0,564.0,50,50
6,443753,1,1532.0,624.0,50,50
6,443781,1,918.0,491.0,50,50
6,443808,1,997.0,616.0,50,50
6,443810,-1,1537.0,440.0,50,50
6,443862,1,830.0,247.0,50,50
6,443742,1,1063.0,772.0,50,50
6,443891,1,858.0,266.0,50,50
6,443749,1,905.0,311.0,50,50
6,443754,1,830.0,309.0,50,50
6,443835,1,491.0,426.0,50,50
7,443734,1,964.0,732.0,50,50
7,443735,1,996.0,703.0,50,50
7,443736,1,844.0,915.0,50,50
7,443737,1,1663.0,742.0,50,50
7,443738,1,1739.0,815.0,50,50
7,443739,1,1467.0,569.0,50,50
7,443740,1,1574.0,552.0,50,50
7,443741,1,843.0,555.0,50,50
7,443743,1,1554.0,489.0,50,50
7,443744,1,1548.0,639.0,50,50
7,443745,1,1617.0,716.0,50,50
7,443746,1,1636.0,440.0,50,50
7,443747,0,1551.0,520.0,50,50
7,443748,1,1659.0,463.0,50,50
7,443750,1,1605.0,441.0,50,50
7,443752,1,1559.0,564.0,50,50
7,443753,1,1532.0,623.0,50,50
7,443781,1,917.0,489.0,50,50
7,443808,1,995.0,612.0,50,50
7,443862,1,829.0,248.0,50,50
7,443742,1,1060.0,766.0,50,50
7,443891,1,858.0,267.0,50,50
7,443922,1,1068.0,182.0,50,50
7,443754,1,829.0,310.0,50,50
7,443835,1,494.0,427.0,50,50
8,443734,1,961.0,725.0,50,50
8,443735,1,993.0,698.0,50,50
8,443736,1,845.0,920.0,50,50
8,443737,1,1663.0,741.0,50,50
8,443738,1,1739.0,815.0,50,50
8,443739,1,1467.0,569.0,50,50
8,443740,1,1574.0,552.0,50,50
8,443741,1,842.0,559.0,50,50
8,443743,1,1554.0,489.0,50,50
8,443744,1,1548.0,639.0,50,50
8,443745,1,1616.0,715.0,50,50
8,443746,1,1636.0,440.0,50,50
8,443747,0,1551.0,520.0,50,50
8,443748,1,1659.0,463.0,50,50
8,443750,1,1605.0,441.0,50,50
8,443752,1,1559.0,564.0,50,50
8,443753,1,1532.0,623.0,50,50
8,443781,1,917.0,487.0,50,50
8,443808,1,994.0,609.0,50,50
8,443862,1,828.0,250.0,50,50
8,443742,1,1057.0,761.0,50,50
8,443891,1,857.0,269.0,50,50
8,443922,1,1069.0,182.0,50,50
8,443754,1,829.0,310.0,50,50
8,443835,1,497.0,428.0,50,50
9,443734,1,959.0,718.0,50,50
9,443735,1,990.0,693.0,50,50
9,443736,1,846.0,925.0,50,50
9,443737,1,1663.0,741.0,50,50
9,443738,1,1739.0,815.0,50,50
9,443739,1,1467.0,569.0,50,50
9,443740,1,1574.0,552.0,50,50
9,443741,1,843.0,564.0,50,50
9,443743,1,1554.0,489.0,50,50
9,443744,1,1548.0,639.0,50,50
9,443745,1,1616.0,715.0,50,50
9,443746,1,1636.0,440.0,50,50
9,443747,0,1551.0,520.0,50,50
9,443748,1,1660.0,463.0,50,50
9,443750,1,1605.0,441.0,50,50
9,443752,1,1559.0,564.0,50,50
9,443753,1,1532.0,622.0,50,50
9,443781,1,916.0,484.0,50,50
9,443808,1,992.0,606.0,50,50
9,443862,1,826.0,256.0,50,50
9,443742,1,1055.0,756.0,50,50
9,443891,1,856.0,270.0,50,50
9,443922,1,1071.0,182.0,50,50
9,443754,1,830.0,311.0,50,50
9,443835,1,500.0,428.0,50,50
9,443979,1,828.0,253.0,50,50
10,443734,1,957.0,712.0,50,50
10,443735,1,988.0,687.0,50,50
10,443736,1,848.0,931.0,50,50
10,443737,1,1664.0,740.0,50,50
10,443738,1,1739.0,814.0,50,50
10,443739,1,1467.0,569.0,50,50
10,443740,1,1574.0,552.0,50,50
10,443741,1,844.0,569.0,50,50
10,443743,1,1554.0,489.0,50,50
10,443744,1,1549.0,639.0,50,50
10,443745,1,1616.0,715.0,50,50
10,443746,1,1636.0,440.0,50,50
10,443747,0,1551.0,520.0,50,50
10,443748,1,1658.0,462.0,50,50
10,443750,1,1605.0,441.0,50,50
10,443752,1,1559.0,564.0,50,50
10,443753,1,1532.0,622.0,50,50
10,443781,1,916.0,481.0,50,50
10,443862,1,825.0,257.0,50,50
10,443742,1,1052.0,750.0,50,50
10,443891,1,856.0,271.0,50,50
10,443922,1,1072.0,182.0,50,50
10,443754,1,830.0,312.0,50,50
10,443835,1,503.0,429.0,50,50
10,444012,2,998.0,306.0,50,50
11,443734,1,954.0,705.0,50,50
11,443735,1,986.0,682.0,50,50
11,443736,1,849.0,937.0,50,50
11,443737,1,1664.0,740.0,50,50
11,443738,1,1739.0,814.0,50,50
11,443739,1,1467.0,569.0,50,50
11,443740,1,1574.0,552.0,50,50
11,443741,1,845.0,573.0,50,50
11,443743,1,1554.0,489.0,50,50
11,443744,1,1549.0,639.0,50,50
11,443745,1,1616.0,715.0,50,50
11,443746,1,1636.0,440.0,50,50
11,443747,0,1551.0,520.0,50,50
11,443748,1,1659.0,462.0,50,50
11,443750,1,1605.0,441.0,50,50
11,443752,1,1559.0,564.0,50,50
11,443753,1,1532.0,622.0,50,50
11,443781,1,916.0,478.0,50,50
11,443862,1,826.0,257.0,50,50
11,443742,1,1049.0,745.0,50,50
11,443891,1,856.0,272.0,50,50
11,443922,1,1071.0,182.0,50,50
11,443754,1,830.0,313.0,50,50
11,443835,1,506.0,430.0,50,50
11,444012,2,998.0,305.0,50,50
11,443808,1,990.0,600.0,50,50
12,443734,1,952.0,700.0,50,50
12,443735,1,984.0,677.0,50,50
12,443736,1,851.0,942.0,50,50
12,443737,1,1664.0,740.0,50,50
12,443738,1,1739.0,813.0,50,50
12,443739,1,1467.0,569.0,50,50
12,443740,1,1574.0,552.0,50,50
12,443741,1,846.0,578.0,50,50
12,443743,1,1554.0,489.0,50,50
12,443744,1,1549.0,639.0,50,50
12,443745,1,1616.0,715.0,50,50
12,443746,1,1636.0,440.0,50,50
12,443747,0,1551.0,520.0,50,50
12,443748,1,1659.0,462.0,50,50
12,443750,1,1605.0,441.0,50,50
12,443752,1,1559.0,564.0,50,50
12,443753,1,1532.0,622.0,50,50
12,443781,1,916.0,475.0,50,50
12,443862,1,825.0,257.0,50,50
12,443891,-1,856.0,273.0,50,50
12,443922,1,1071.0,182.0,50,50
12,443835,1,509.0,430.0,50,50
12,444012,2,998.0,304.0,50,50
13,443734,1,949.0,694.0,50,50
13,443735,1,982.0,671.0,50,50
13,443736,1,851.0,947.0,50,50
13,443737,1,1663.0,740.0,50,50
13,443738,1,1739.0,813.0,50,50
13,443739,1,1467.0,569.0,50,50
13,443740,1,1574.0,552.0,50,50
13,443741,1,847.0,582.0,50,50
13,443743,1,1554.0,489.0,50,50
13,443744,1,1549.0,639.0,50,50
13,443745,1,1616.0,715.0,50,50
13,443746,1,1636.0,440.0,50,50
13,443747,0,1551.0,520.0,50,50
13,443748,1,1659.0,462.0,50,50
13,443750,1,1605.0,440.0,50,50
13,443752,1,1559.0,564.0,50,50
13,443753,1,1532.0,622.0,50,50
13,443781,1,915.0,472.0,50,50
13,443862,1,825.0,257.0,50,50
13,443891,1,855.0,274.0,50,50
13,443922,1,1072.0,182.0,50,50
13,443835,1,512.0,431.0,50,50
13,444012,2,998.0,304.0,50,50
13,443749,1,905.0,303.0,50,50
13,443754,1,829.0,315.0,50,50
14,443734,1,947.0,688.0,50,50
14,443735,1,980.0,666.0,50,50
14,443736,1,853.0,954.0,50,50
14,443737,1,1663.0,740.0,50,50
14,443738,1,1739.0,813.0,50,50
14,443739,1,1467.0,569.0,50,50
14,443740,1,1574.0,552.0,50,50
14,443741,1,847.0,585.0,50,50
14,443743,1,1554.0,489.0,50,50
14,443744,1,1549.0,639.0,50,50
14,443745,1,1616.0,715.0,50,50
14,443746,1,1636.0,440.0,50,50
14,443747,0,1551.0,520.0,50,50
14,443748,1,1660.0,461.0,50,50
14,443750,1,1605.0,440.0,50,50
14,443752,1,1559.0,564.0,50,50
14,443753,1,1532.0,622.0,50,50
14,443781,1,915.0,469.0,50,50
14,443862,1,826.0,257.0,50,50
14,443922,1,1074.0,182.0,50,50
14,443835,1,515.0,432.0,50,50
14,444012,2,998.0,304.0,50,50
14,443754,2,828.0,316.0,50,50
15,443734,1,945.0,682.0,50,50
15,443735,1,979.0,662.0,50,50
15,443736,1,854.0,961.0,50,50
15,443737,1,1663.0,740.0,50,50
15,443738,1,1739.0,813.0,50,50
15,443739,1,1467.0,569.0,50,50
15,443740,1,1574.0,552.0,50,50
15,443741,1,848.0,589.0,50,50
15,443743,1,1554.0,489.0,50,50
15,443744,1,1549.0,639.0,50,50
15,443745,1,1616.0,715.0,50,50
15,443746,1,1636.0,440.0,50,50
15,443747,0,1551.0,520.0,50,50
15,443748,-1,1657.0,461.0,50,50
15,443750,1,1605.0,440.0,50,50
15,443752,1,1559.0,564.0,50,50
15,443753,1,1532.0,622.0,50,50
15,443781,1,914.0,466.0,50,50
15,443862,1,826.0,257.0,50,50
