frame,track_id,class,x_center,y_center,width,height
0,703277,1,672.0,864.0,50,50
0,703278,1,592.0,800.0,50,50
0,703279,1,934.0,667.0,50,50
0,703280,1,383.0,881.0,50,50
0,703281,1,802.0,595.0,50,50
0,703282,2,1124.0,387.0,50,50
0,703283,1,1015.0,520.0,50,50
0,703284,1,520.0,755.0,50,50
0,703285,1,102.0,1044.0,50,50
0,703286,1,1170.0,411.0,50,50
0,703287,1,1131.0,510.0,50,50
0,703288,1,1227.0,351.0,50,50
0,703289,1,1013.0,490.0,50,50
0,703290,0,871.0,637.0,50,50
0,703291,1,1323.0,415.0,50,50
0,703292,1,1496.0,258.0,50,50
1,703277,1,686.0,854.0,50,50
1,703278,1,580.0,807.0,50,50
1,703279,1,940.0,660.0,50,50
1,703280,1,372.0,887.0,50,50
1,703281,1,797.0,597.0,50,50
1,703282,2,1121.0,387.0,50,50
1,703283,1,1009.0,523.0,50,50
1,703284,1,512.0,759.0,50,50
1,703285,1,88.0,1048.0,50,50
1,703286,1,1167.0,413.0,50,50
1,703287,1,1135.0,506.0,50,50
1,703288,1,1225.0,351.0,50,50
1,703289,1,1010.0,491.0,50,50
1,703290,0,870.0,637.0,50,50
1,703291,1,1324.0,413.0,50,50
1,703292,1,1496.0,257.0,50,50
2,703277,1,700.0,843.0,50,50
2,703278,1,568.0,816.0,50,50
2,703279,1,948.0,655.0,50,50
2,703280,1,359.0,894.0,50,50
2,703281,1,793.0,599.0,50,50
2,703282,2,1120.0,389.0,50,50
2,703283,1,1005.0,527.0,50,50
2,703284,1,503.0,764.0,50,50
2,703285,1,75.0,1053.0,50,50
2,703286,1,1163.0,415.0,50,50
2,703287,1,1139.0,502.0,50,50
2,703288,1,1222.0,353.0,50,50
2,703289,1,1004.0,495.0,50,50
2,703290,0,869.0,638.0,50,50
2,703291,1,1326.0,412.0,50,50
2,703292,1,1497.0,256.0,50,50
2,703310,1,579.0,1064.0,50,50
3,703277,1,717.0,829.0,50,50
3,703278,1,552.0,825.0,50,50
3,703279,1,956.0,648.0,50,50
3,703280,1,349.0,902.0,50,50
3,703281,1,788.0,602.0,50,50
3,703282,2,1117.0,391.0,50,50
3,703283,1,999.0,531.0,50,50
3,703284,1,496.0,769.0,50,50
3,703285,1,58.0,1059.0,50,50
3,703286,1,1159.0,417.0,50,50
3,703287,1,1144.0,498.0,50,50
3,703288,1,1220.0,354.0,50,50
3,703289,1,999.0,497.0,50,50
3,703290,0,869.0,637.0,50,50
3,703292,1,1497.0,256.0,50,50
4,703277,1,733.0,817.0,50,50
4,703278,1,538.0,835.0,50,50
4,703279,1,965.0,641.0,50,50
4,703280,1,331.0,911.0,50,50
4,703281,1,782.0,605.0,50,50
4,703282,2,1115.0,392.0,50,50
4,703283,1,994.0,534.0,50,50
4,703284,1,486.0,775.0,50,50
4,703285,1,44.0,1065.0,50,50
4,703286,1,1155.0,420.0,50,50
4,703287,1,1148.0,495.0,50,50
4,703288,1,1217.0,356.0,50,50
4,703289,1,993.0,500.0,50,50
4,703290,0,868.0,637.0,50,50
4,703292,-1,1497.0,255.0,50,50
4,703347,1,606.0,1052.0,50,50
5,703277,1,748.0,805.0,50,50
5,703278,1,524.0,845.0,50,50
5,703279,1,972.0,636.0,50,50
5,703280,1,316.0,920.0,50,50
5,703281,1,777.0,609.0,50,50
5,703282,2,1112.0,394.0,50,50
5,703283,1,988.0,539.0,50,50
5,703284,1,477.0,780.0,50,50
5,703286,1,1152.0,422.0,50,50
5,703287,1,1153.0,491.0,50,50
5,703288,1,1215.0,358.0,50,50
5,703289,1,988.0,503.0,50,50
5,703290,0,868.0,637.0,50,50
5,703347,1,612.0,1047.0,50,50
6,703277,1,762.0,793.0,50,50
6,703278,1,507.0,855.0,50,50
6,703279,1,980.0,629.0,50,50
6,703280,1,300.0,929.0,50,50
6,703281,1,771.0,612.0,50,50
6,703282,2,1109.0,396.0,50,50
6,703283,1,980.0,543.0,50,50
6,703284,1,467.0,786.0,50,50
6,703286,1,1148.0,425.0,50,50
6,703287,1,1157.0,488.0,50,50
6,703288,1,1212.0,360.0,50,50
6,703289,1,983.0,507.0,50,50
6,703290,0,868.0,637.0,50,50
6,703347,1,628.0,1041.0,50,50
6,703381,1,1612.0,145.0,50,50
7,703277,1,777.0,783.0,50,50
7,703278,1,492.0,865.0,50,50
7,703279,1,987.0,624.0,50,50
7,703280,1,284.0,938.0,50,50
7,703281,1,766.0,616.0,50,50
7,703282,2,1107.0,397.0,50,50
7,703283,1,972.0,548.0,50,50
7,703284,1,457.0,792.0,50,50
7,703286,1,1145.0,427.0,50,50
7,703287,1,1162.0,483.0,50,50
7,703288,1,1209.0,363.0,50,50
7,703289,1,978.0,510.0,50,50
