frame,track_id,class,x_center,y_center,width,height
0,909387,1,360.0,653.0,50,50
0,909388,1,1079.0,486.0,50,50
0,909389,1,1786.0,492.0,50,50
0,909390,1,1272.0,647.0,50,50
0,909391,1,1689.0,526.0,50,50
0,909392,1,1523.0,455.0,50,50
0,909393,1,646.0,535.0,50,50
0,909394,1,788.0,686.0,50,50
0,909395,1,1027.0,642.0,50,50
0,909396,1,1582.0,643.0,50,50
0,909397,1,406.0,463.0,50,50
1,909387,1,369.0,653.0,50,50
1,909388,1,1071.0,486.0,50,50
1,909389,1,1777.0,492.0,50,50
1,909390,1,1281.0,647.0,50,50
1,909391,1,1679.0,525.0,50,50
1,909392,1,1516.0,456.0,50,50
1,909393,1,632.0,534.0,50,50
1,909394,1,796.0,686.0,50,50
1,909396,1,1590.0,643.0,50,50
1,909397,1,398.0,463.0,50,50
2,909387,1,379.0,653.0,50,50
2,909388,1,1062.0,486.0,50,50
2,909389,1,1768.0,492.0,50,50
2,909390,1,1290.0,647.0,50,50
2,909391,1,1668.0,524.0,50,50
2,909392,1,1508.0,456.0,50,50
2,909393,1,617.0,534.0,50,50
2,909394,1,805.0,686.0,50,50
2,909396,1,1600.0,643.0,50,50
2,909397,1,389.0,462.0,50,50
3,909387,1,390.0,653.0,50,50
3,909388,1,1052.0,486.0,50,50
3,909389,1,1757.0,492.0,50,50
3,909390,1,1302.0,648.0,50,50
3,909391,1,1656.0,524.0,50,50
3,909392,1,1499.0,456.0,50,50
3,909393,1,601.0,534.0,50,50
3,909394,1,815.0,686.0,50,50
3,909396,1,1611.0,643.0,50,50
3,909397,1,380.0,462.0,50,50
4,909387,1,401.0,654.0,50,50
4,909388,1,1042.0,486.0,50,50
4,909389,1,1747.0,492.0,50,50
4,909390,1,1314.0,649.0,50,50
4,909391,1,1646.0,524.0,50,50
4,909392,1,1489.0,456.0,50,50
4,909393,1,585.0,534.0,50,50
4,909397,1,371.0,462.0,50,50
4,909432,1,1068.0,642.0,50,50
5,909387,1,413.0,655.0,50,50
5,909388,1,1032.0,486.0,50,50
5,909389,1,1737.0,492.0,50,50
5,909390,1,1324.0,648.0,50,50
5,909391,1,1634.0,524.0,50,50
5,909392,1,1480.0,455.0,50,50
5,909393,1,569.0,533.0,50,50
5,909397,1,362.0,462.0,50,50
5,909432,1,1078.0,642.0,50,50
5,909443,1,693.0,493.0,50,50
6,909387,1,425.0,655.0,50,50
6,909388,1,1023.0,486.0,50,50
6,909389,1,1727.0,492.0,50,50
6,909391,1,1622.0,524.0,50,50
6,909392,1,1470.0,456.0,50,50
6,909393,1,554.0,533.0,50,50
6,909397,1,353.0,462.0,50,50
6,909432,1,1088.0,642.0,50,50
6,909443,1,682.0,493.0,50,50
6,909394,1,844.0,686.0,50,50
6,909396,1,1643.0,643.0,50,50
7,909388,1,1014.0,486.0,50,50
7,909389,1,1718.0,492.0,50,50
7,909391,1,1611.0,524.0,50,50
7,909392,1,1460.0,456.0,50,50
7,909393,1,538.0,533.0,50,50
7,909397,1,344.0,462.0,50,50
7,909432,1,1099.0,642.0,50,50
7,909443,1,671.0,494.0,50,50
7,909394,1,853.0,686.0,50,50
8,909388,1,1004.0,486.0,50,50
8,909389,1,1709.0,492.0,50,50
8,909392,1,1451.0,456.0,50,50
8,909393,1,522.0,532.0,50,50
8,909397,1,336.0,462.0,50,50
8,909432,1,1110.0,642.0,50,50
8,909443,1,661.0,494.0,50,50
8,909394,1,863.0,686.0,50,50
8,909390,1,1357.0,649.0,50,50
8,909387,1,446.0,655.0,50,50
8,909396,1,1665.0,642.0,50,50
9,909388,1,997.0,486.0,50,50
9,909389,1,1698.0,492.0,50,50
9,909392,1,1442.0,457.0,50,50
9,909393,1,507.0,532.0,50,50
9,909397,1,326.0,462.0,50,50
9,909432,1,1122.0,642.0,50,50
9,909443,1,649.0,494.0,50,50
9,909390,1,1367.0,648.0,50,50
9,909387,1,457.0,655.0,50,50
9,909396,1,1675.0,642.0,50,50
9,909391,1,1589.0,524.0,50,50
10,909388,1,988.0,487.0,50,50
10,909389,1,1689.0,492.0,50,50
10,909392,1,1432.0,458.0,50,50
10,909393,1,491.0,531.0,50,50
10,909397,1,318.0,461.0,50,50
10,909432,1,1132.0,642.0,50,50
10,909443,1,637.0,494.0,50,50
10,909390,1,1377.0,646.0,50,50
10,909387,1,468.0,655.0,50,50
10,909391,1,1578.0,524.0,50,50
11,909388,1,978.0,487.0,50,50
11,909389,1,1680.0,492.0,50,50
11,909392,1,1423.0,459.0,50,50
11,909393,1,475.0,532.0,50,50
11,909397,1,308.0,461.0,50,50
11,909432,1,1142.0,642.0,50,50
11,909443,1,627.0,494.0,50,50
11,909390,1,1387.0,646.0,50,50
11,909387,1,479.0,655.0,50,50
11,909391,1,1566.0,524.0,50,50
11,909394,1,892.0,686.0,50,50
11,909396,1,1696.0,641.0,50,50
12,909388,1,969.0,487.0,50,50
12,909389,1,1670.0,492.0,50,50
12,909392,1,1414.0,457.0,50,50
12,909393,1,460.0,532.0,50,50
12,909397,1,299.0,461.0,50,50
12,909432,1,1153.0,643.0,50,50
12,909390,1,1398.0,646.0,50,50
12,909387,1,490.0,655.0,50,50
12,909391,1,1555.0,524.0,50,50
12,909520,1,1908.0,496.0,50,50
12,909394,1,902.0,686.0,50,50
13,909388,1,959.0,487.0,50,50
13,909389,1,1660.0,492.0,50,50
13,909392,1,1404.0,457.0,50,50
13,909393,1,444.0,532.0,50,50
13,909397,1,290.0,461.0,50,50
13,909432,1,1163.0,642.0,50,50
13,909390,1,1410.0,646.0,50,50
13,909387,1,501.0,655.0,50,50
13,909391,1,1543.0,524.0,50,50
13,909520,1,1904.0,497.0,50,50
13,909394,1,912.0,686.0,50,50
14,909388,1,949.0,487.0,50,50
14,909389,1,1651.0,493.0,50,50
14,909392,1,1395.0,459.0,50,50
14,909393,1,429.0,532.0,50,50
14,909397,1,281.0,461.0,50,50
14,909432,1,1174.0,642.0,50,50
14,909390,1,1420.0,646.0,50,50
14,909387,1,512.0,655.0,50,50
14,909391,1,1532.0,524.0,50,50
14,909520,1,1899.0,498.0,50,50
14,909394,1,922.0,686.0,50,50
15,909388,1,939.0,487.0,50,50
15,909389,1,1641.0,493.0,50,50
15,909393,1,414.0,532.0,50,50
15,909397,1,272.0,461.0,50,50
15,909432,1,1185.0,642.0,50,50
15,909390,1,1431.0,646.0,50,50
15,909387,1,523.0,655.0,50,50
15,909391,1,1521.0,524.0,50,50
15,909520,1,1894.0,499.0,50,50
15,909394,1,931.0,686.0,50,50
15,909443,1,588.0,495.0,50,50
16,909388,1,930.0,487.0,50,50
16,909389,1,1631.0,492.0,50,50
16,909393,1,398.0,531.0,50,50
16,909397,1,264.0,461.0,50,50
16,909432,1,1196.0,642.0,50,50
16,909391,1,1510.0,524.0,50,50
16,909520,1,1888.0,499.0,50,50
16,909443,1,577.0,495.0,50,50
16,909396,1,1749.0,641.0,50,50
17,909388,1,920.0,487.0,50,50
17,909389,1,1621.0,492.0,50,50
17,909393,1,383.0,531.0,50,50
17,909397,1,255.0,462.0,50,50
17,909432,1,1206.0,642.0,50,50
17,909391,1,1499.0,524.0,50,50
17,909520,1,1878.0,499.0,50,50
17,909443,1,567.0,494.0,50,50
17,909396,1,1760.0,641.0,50,50
17,909392,1,1369.0,457.0,50,50
18,909388,1,911.0,487.0,50,50
18,909389,1,1612.0,492.0,50,50
18,909393,1,367.0,531.0,50,50
18,909397,1,246.0,462.0,50,50
18,909391,1,1488.0,524.0,50,50
18,909443,1,557.0,494.0,50,50
18,909396,1,1770.0,641.0,50,50
18,909392,1,1360.0,457.0,50,50
19,909388,1,902.0,487.0,50,50
19,909389,1,1602.0,492.0,50,50
19,909393,1,352.0,531.0,50,50
19,909397,1,237.0,462.0,50,50
19,909391,1,1477.0,524.0,50,50
19,909443,1,546.0,494.0,50,50
19,909396,1,1780.0,641.0,50,50
19,909392,1,1351.0,458.0,50,50
19,909520,1,1859.0,498.0,50,50
20,909388,1,892.0,487.0,50,50
20,909389,1,1592.0,492.0,50,50
20,909393,1,336.0,531.0,50,50
20,909397,1,229.0,462.0,50,50
20,909391,1,1465.0,523.0,50,50
20,909443,1,536.0,494.0,50,50
20,909396,1,1791.0,641.0,50,50
20,909392,1,1341.0,458.0,50,50
20,909520,1,1849.0,497.0,50,50
20,909390,1,1483.0,646.0,50,50
20,909387,1,579.0,656.0,50,50
20,909432,1,1237.0,641.0,50,50
21,909388,1,882.0,487.0,50,50
21,909389,1,1582.0,491.0,50,50
21,909393,1,321.0,531.0,50,50
21,909397,1,221.0,461.0,50,50
21,909391,1,1453.0,523.0,50,50
21,909443,1,525.0,494.0,50,50
21,909396,1,1802.0,641.0,50,50
21,909392,1,1332.0,458.0,50,50
21,909520,1,1840.0,497.0,50,50
21,909390,1,1493.0,645.0,50,50
21,909387,1,590.0,656.0,50,50
22,909388,1,874.0,487.0,50,50
22,909389,1,1573.0,492.0,50,50
22,909393,1,305.0,530.0,50,50
22,909397,1,212.0,461.0,50,50
22,909391,1,1442.0,523.0,50,50
22,909443,1,515.0,493.0,50,50
22,909396,1,1812.0,641.0,50,50
22,909392,1,1323.0,459.0,50,50
22,909520,1,1830.0,497.0,50,50
22,909390,1,1503.0,645.0,50,50
22,909387,1,601.0,656.0,50,50
22,909432,1,1256.0,641.0,50,50
23,909389,1,1563.0,492.0,50,50
23,909393,1,290.0,530.0,50,50
23,909397,1,203.0,461.0,50,50
23,909391,1,1430.0,523.0,50,50
23,909396,1,1823.0,641.0,50,50
23,909392,1,1313.0,459.0,50,50
23,909520,1,1820.0,496.0,50,50
