frame,track_id,class,x_center,y_center,width,height
2,1,1,1530,781,50,50
2,2,1,1217,743,50,50
2,3,1,1236,582,50,50
2,4,1,1089,682,50,50
2,5,1,1337,542,50,50
2,6,1,891,233,50,50
2,7,1,1137,401,50,50
2,8,1,1565,242,50,50
2,9,1,995,295,50,50
2,10,1,1803,344,50,50
2,11,1,973,701,50,50
2,12,1,782,283,50,50
2,13,1,950,211,50,50
2,14,1,1080,406,50,50
2,15,1,1038,246,50,50
2,16,1,1749,328,50,50
2,17,1,1661,280,50,50
2,18,1,1018,264,50,50
2,19,1,850,226,50,50
2,20,1,840,111,50,50
2,21,1,952,112,50,50
2,22,1,1022,220,50,50
2,23,1,1727,319,50,50
2,24,1,930,142,50,50
2,25,1,1703,306,50,50
2,26,1,966,177,50,50
2,27,1,979,136,50,50
2,28,1,864,110,50,50
2,29,1,1615,264,50,50
2,30,1,1635,270,50,50
2,31,1,937,85,50,50
2,33,1,1681,229,50,50
2,34,0,685,184,50,50
2,35,1,1633,168,50,50
2,36,1,971,97,50,50
2,37,1,890,90,50,50
2,38,1,1780,274,50,50
2,39,1,883,63,50,50
2,40,1,1625,268,50,50
2,41,1,1719,314,50,50
3,1,1,1516,768,50,50
3,2,1,1228,757,50,50
3,3,1,1227,573,50,50
3,4,1,1096,694,50,50
3,5,1,1330,536,50,50
3,6,1,892,235,50,50
3,7,1,1133,397,50,50
3,8,1,1565,242,50,50
3,9,1,993,291,50,50
3,10,1,1803,344,50,50
3,11,1,977,709,50,50
3,12,1,783,284,50,50
3,13,1,949,209,50,50
3,14,1,1076,401,50,50
3,15,1,1037,243,50,50
3,16,1,1749,328,50,50
3,17,1,1661,280,50,50
3,18,1,1017,262,50,50
3,19,1,851,227,50,50
3,20,1,839,111,50,50
3,21,1,951,112,50,50
3,22,1,1021,218,50,50
3,23,1,1727,319,50,50
3,24,1,930,141,50,50
3,25,1,1703,306,50,50
3,26,1,965,176,50,50
3,27,1,978,136,50,50
3,28,1,864,110,50,50
3,29,1,1616,264,50,50
3,30,1,1635,270,50,50
3,31,1,937,85,50,50
3,33,1,1680,229,50,50
3,34,0,685,184,50,50
3,35,1,1633,168,50,50
3,36,1,971,96,50,50
3,37,1,890,90,50,50
3,38,1,1780,274,50,50
3,39,1,882,63,50,50
3,40,1,1625,268,50,50
3,41,1,1719,314,50,50
4,1,1,1500,755,50,50
4,2,1,1239,772,50,50
4,3,1,1218,565,50,50
4,4,1,1103,704,50,50
4,5,1,1322,530,50,50
4,6,1,893,237,50,50
4,7,1,1129,393,50,50
4,8,1,1565,242,50,50
4,9,1,991,288,50,50
4,10,1,1803,344,50,50
4,11,1,981,717,50,50
4,12,1,783,286,50,50
4,13,1,949,207,50,50
4,14,1,1072,396,50,50
4,15,1,1037,242,50,50
4,16,1,1749,328,50,50
4,17,1,1661,281,50,50
4,18,1,1015,258,50,50
4,19,1,851,229,50,50
4,20,1,839,112,50,50
4,21,1,951,111,50,50
4,22,1,1021,217,50,50
4,23,1,1727,319,50,50
4,24,1,930,140,50,50
4,25,1,1702,307,50,50
4,26,1,965,175,50,50
4,27,1,977,135,50,50
4,28,1,863,111,50,50
4,29,1,1616,264,50,50
4,30,1,1635,271,50,50
4,31,1,937,84,50,50
4,33,1,1680,229,50,50
4,34,0,684,184,50,50
4,35,1,1633,168,50,50
4,36,1,971,95,50,50
4,37,1,889,91,50,50
4,38,1,1780,274,50,50
4,39,1,881,64,50,50
4,40,1,1624,268,50,50
4,41,1,1719,314,50,50
5,1,1,1487,742,50,50
5,2,1,1251,787,50,50
5,3,1,1211,557,50,50
5,4,1,1109,716,50,50
5,5,1,1316,524,50,50
5,6,1,894,239,50,50
5,7,1,1124,389,50,50
5,8,1,1565,242,50,50
5,9,1,989,284,50,50
5,10,1,1803,344,50,50
5,11,1,984,725,50,50
5,12,1,784,288,50,50
5,13,1,948,206,50,50
