frame,track_id,class,x_center,y_center,width,height
0,11919,1,909,566,50,50
0,11925,1,1491,221,50,50
0,11957,1,-85,1119,50,50
0,11967,1,192,1001,50,50
0,11990,1,1282,310,50,50
0,11993,1,494,785,50,50
0,11995,1,633,737,50,50
0,11998,1,806,578,50,50
0,12004,1,779,619,50,50
0,12005,1,-132,1155,50,50
0,12012,1,1361,246,50,50
0,12014,1,554,720,50,50
0,12032,1,1319,337,50,50
0,12048,1,1167,494,50,50
0,12051,1,939,520,50,50
0,12053,1,946,681,50,50
0,12060,1,890,644,50,50
0,12063,1,900,522,50,50
0,12064,1,109,939,50,50
0,12070,2,1161,404,50,50
0,12071,2,928,503,50,50
0,12072,1,755,817,50,50
0,12073,1,1262,307,50,50
0,12074,1,1323,299,50,50
0,12078,1,1307,279,50,50
0,12080,0,1529,205,50,50
1,11919,1,904,569,50,50
1,11925,1,1492,220,50,50
1,11957,1,-98,1126,50,50
1,11967,1,176,1010,50,50
1,11990,1,1280,311,50,50
1,11993,1,486,789,50,50
1,11995,1,624,742,50,50
1,11998,1,803,580,50,50
1,12004,1,773,622,50,50
1,12005,1,-149,1164,50,50
1,12012,1,1361,242,50,50
1,12014,1,548,723,50,50
1,12032,1,1322,336,50,50
1,12048,1,1171,492,50,50
1,12051,1,935,522,50,50
1,12053,1,952,677,50,50
1,12060,1,898,638,50,50
1,12063,1,897,524,50,50
1,12064,1,99,945,50,50
1,12070,2,1158,406,50,50
1,12071,2,929,503,50,50
1,12072,1,765,810,50,50
1,12073,1,1261,308,50,50
1,12074,1,1322,300,50,50
1,12078,1,1306,280,50,50
1,12080,0,1529,205,50,50
2,11919,2,893,578,50,50
2,11925,1,1493,220,50,50
2,11957,1,-110,1134,50,50
2,11967,1,161,1019,50,50
2,11990,1,1279,312,50,50
2,11993,1,478,794,50,50
2,11995,1,616,747,50,50
2,11998,1,799,583,50,50
2,12004,1,768,625,50,50
2,12005,1,-166,1172,50,50
2,12012,1,1362,239,50,50
2,12014,1,542,726,50,50
2,12032,1,1324,334,50,50
2,12048,1,1174,489,50,50
2,12051,1,931,525,50,50
2,12053,1,957,673,50,50
2,12060,1,905,633,50,50
2,12063,1,893,525,50,50
2,12064,1,88,950,50,50
2,12070,2,1155,408,50,50
2,12071,2,929,502,50,50
2,12072,1,774,802,50,50
2,12073,1,1260,309,50,50
2,12074,1,1320,301,50,50
2,12078,1,1305,280,50,50
2,12080,0,1529,205,50,50
2,12088,1,597,683,50,50
2,12089,1,1135,316,50,50
2,12091,2,725,574,50,50
2,12093,1,449,751,50,50
2,12094,1,584,661,50,50
3,11919,2,892,578,50,50
3,11925,1,1494,219,50,50
3,11957,1,-123,1141,50,50
3,11967,1,146,1027,50,50
3,11990,1,1277,313,50,50
3,11993,1,470,799,50,50
3,11995,1,608,752,50,50
3,11998,1,795,585,50,50
3,12004,1,763,628,50,50
3,12005,1,-184,1181,50,50
3,12012,1,1362,236,50,50
3,12014,1,536,730,50,50
3,12032,1,1326,332,50,50
3,12048,1,1178,487,50,50
3,12051,1,927,527,50,50
3,12053,1,963,669,50,50
3,12060,1,913,628,50,50
3,12063,1,890,527,50,50
3,12064,1,78,956,50,50
3,12070,2,1152,410,50,50
3,12071,2,930,502,50,50
3,12072,1,784,795,50,50
3,12073,1,1259,310,50,50
3,12074,1,1319,302,50,50
3,12078,1,1304,281,50,50
3,12080,0,1530,204,50,50
3,12088,1,588,689,50,50
3,12089,1,1134,317,50,50
3,12091,2,720,577,50,50
3,12093,1,441,756,50,50
3,12094,1,578,664,50,50
3,12096,1,1104,417,50,50
4,11919,2,894,576,50,50
4,11925,1,1494,219,50,50
4,11957,1,-135,1149,50,50
4,11967,1,131,1036,50,50
4,11990,1,1276,314,50,50
4,11993,1,462,803,50,50
4,11995,1,600,757,50,50
4,11998,1,792,587,50,50
4,12004,1,758,632,50,50
4,12005,1,-201,1189,50,50
4,12012,1,1362,233,50,50
4,12014,1,530,733,50,50
4,12032,1,1329,330,50,50
4,12048,1,1181,484,50,50
4,12051,1,924,529,50,50
4,12053,1,968,665,50,50
4,12060,1,921,622,50,50
4,12063,1,887,529,50,50
4,12064,1,67,961,50,50
4,12070,2,1149,412,50,50
4,12071,2,931,501,50,50
4,12072,1,793,788,50,50
4,12073,1,1257,310,50,50
4,12074,1,1317,303,50,50
4,12078,1,1303,282,50,50
4,12080,0,1530,204,50,50
4,12088,1,580,693,50,50
4,12089,1,1132,318,50,50
4,12091,2,715,581,50,50
4,12093,1,433,760,50,50
4,12094,1,572,667,50,50
4,12096,1,1105,416,50,50
4,12099,1,941,440,50,50
5,11919,2,897,573,50,50
5,11925,1,1495,218,50,50
5,11957,1,-148,1156,50,50
5,11967,1,115,1045,50,50
5,11990,1,1274,314,50,50
5,11993,1,453,808,50,50
5,11995,1,592,762,50,50
5,11998,1,788,589,50,50
5,12004,1,753,635,50,50
5,12005,1,-218,1197,50,50
5,12012,1,1363,230,50,50
5,12014,1,523,736,50,50
5,12032,1,1331,329,50,50
5,12048,1,1185,481,50,50
5,12051,1,920,532,50,50
5,12053,1,973,661,50,50
5,12060,1,929,617,50,50
5,12063,1,884,531,50,50
5,12064,1,57,967,50,50
5,12070,2,1147,414,50,50
5,12071,2,931,501,50,50
5,12072,1,803,781,50,50
5,12073,1,1256,311,50,50
5,12074,1,1316,304,50,50
5,12078,1,1302,282,50,50
5,12080,0,1530,204,50,50
5,12088,1,572,698,50,50
5,12089,1,1130,319,50,50
5,12091,2,711,583,50,50
5,12093,1,425,764,50,50
5,12094,1,565,671,50,50
5,12096,1,1107,414,50,50
5,12099,1,938,442,50,50
6,11919,2,901,570,50,50
6,11925,1,1496,218,50,50
6,11957,1,-160,1164,50,50
6,11967,1,100,1054,50,50
6,11990,1,1273,315,50,50
6,11993,1,445,813,50,50
6,11995,1,584,767,50,50
6,11998,1,784,592,50,50
6,12004,1,748,638,50,50
6,12005,1,-235,1206,50,50
6,12012,1,1363,226,50,50
6,12014,1,517,740,50,50
6,12032,1,1334,327,50,50
6,12048,1,1188,479,50,50
6,12051,1,916,534,50,50
6,12053,1,979,657,50,50
6,12060,1,936,612,50,50
