frame,track_id,class,x_center,y_center,width,height
0,17987,1,-76,460,50,50
0,17991,1,549,467,50,50
0,18001,1,502,576,50,50
0,18003,1,1547,479,50,50
0,18004,1,1695,479,50,50
1,17987,1,-84,460,50,50
1,17991,1,541,467,50,50
1,18001,1,511,576,50,50
1,18003,1,1540,479,50,50
1,18004,1,1688,479,50,50
2,17987,1,-92,459,50,50
2,17991,1,533,467,50,50
2,18001,1,519,576,50,50
2,18003,1,1533,479,50,50
2,18004,1,1681,479,50,50
2,18007,1,414,499,50,50
2,18008,1,1312,516,50,50
2,18009,1,12,552,49,50
2,18011,1,1130,583,50,50
2,18012,1,1298,572,50,50
2,18013,1,100,470,50,50
2,18014,1,846,597,50,50
2,18015,1,856,576,50,50
2,18016,1,1823,614,50,50
2,18017,1,1857,511,50,50
2,18018,1,350,546,50,50
3,17987,1,-101,459,50,50
3,17991,1,526,467,50,50
3,18001,1,527,576,50,50
3,18003,1,1526,479,50,50
3,18004,1,1674,479,50,50
3,18007,1,407,499,50,50
3,18008,1,1304,516,50,50
3,18009,1,15,553,49,50
3,18011,1,1137,583,50,50
3,18012,1,1307,572,50,50
3,18013,1,94,470,50,50
3,18014,1,853,597,50,50
3,18015,1,863,577,50,50
3,18016,1,1829,615,50,50
3,18017,1,1850,511,50,50
3,18018,1,359,547,50,50
3,18020,1,313,482,50,50
4,17987,1,-109,458,50,50
4,17991,1,518,467,50,50
4,18001,1,536,576,50,50
4,18003,1,1519,479,50,50
4,18004,1,1668,479,50,50
4,18007,1,400,498,50,50
4,18008,1,1299,515,50,50
4,18009,1,20,554,49,50
4,18011,1,1142,584,50,50
4,18012,1,1316,572,50,50
4,18013,1,88,470,50,50
4,18014,1,860,597,50,50
4,18015,1,871,577,50,50
4,18016,1,1833,615,50,50
4,18017,1,1843,511,50,50
4,18018,1,368,548,50,50
4,18020,1,306,481,50,50
5,17987,1,-117,458,50,50
5,17991,1,510,467,50,50
5,18001,1,544,577,50,50
5,18003,1,1512,479,50,50
5,18004,1,1661,479,50,50
5,18007,1,393,498,50,50
5,18008,1,1293,515,50,50
5,18009,1,27,554,50,50
5,18011,1,1148,584,50,50
5,18012,1,1325,572,50,50
5,18013,1,82,470,50,50
5,18014,1,866,597,50,50
5,18015,1,879,577,50,50
5,18016,1,1840,615,50,50
5,18017,1,1837,511,50,50
5,18018,1,376,548,50,50
5,18020,1,302,481,50,50
6,17987,1,-126,457,50,50
6,17991,1,502,467,50,50
6,18001,1,553,577,50,50
6,18003,1,1505,479,50,50
6,18004,1,1654,479,50,50
6,18007,1,386,498,50,50
6,18008,1,1280,515,50,50
6,18009,1,34,555,50,50
6,18011,1,1160,584,50,50
6,18012,1,1334,572,50,50
6,18013,1,76,470,50,50
6,18014,1,874,597,50,50
6,18015,1,887,577,50,50
6,18016,1,1845,614,50,50
6,18017,1,1831,511,50,50
6,18018,1,384,548,50,50
6,18020,1,294,481,50,50
7,17987,1,-134,456,50,50
7,17991,1,495,467,50,50
7,18001,1,561,577,50,50
7,18003,1,1498,479,50,50
7,18004,1,1647,479,50,50
7,18007,1,379,498,50,50
7,18008,1,1272,515,50,50
7,18009,1,40,555,50,50
7,18011,1,1166,585,50,50
7,18012,1,1343,572,50,50
7,18013,1,70,470,50,50
7,18014,1,880,597,50,50
7,18015,1,894,577,50,50
7,18016,1,1850,614,50,50
7,18017,1,1824,511,50,50
7,18018,1,393,549,50,50
7,18020,1,287,481,50,50
7,18023,1,1459,603,50,50
7,18024,1,20,310,50,50
8,17987,1,-142,456,50,50
8,17991,1,487,467,50,50
8,18001,1,569,577,50,50
8,18003,1,1491,479,50,50
8,18004,1,1640,479,50,50
8,18007,1,372,498,50,50
8,18008,1,1264,516,50,50
8,18009,1,47,556,50,50
8,18011,1,1173,585,50,50
8,18012,1,1352,572,50,50
8,18013,1,63,469,50,50
8,18014,1,887,597,50,50
8,18015,1,903,577,50,50
8,18016,1,1856,614,50,50
8,18017,1,1817,511,50,50
8,18018,1,401,549,50,50
8,18020,1,281,481,50,50
8,18023,1,1467,603,50,50
8,18024,1,20,310,50,50
9,17987,1,-150,455,50,50
9,17991,1,479,467,50,50
9,18001,1,578,577,50,50
9,18003,1,1483,479,50,50
9,18004,1,1634,479,50,50
9,18007,1,365,498,50,50
9,18008,1,1256,516,50,50
9,18009,1,53,555,50,50
9,18011,1,1179,585,50,50
9,18012,1,1360,572,50,50
9,18013,1,58,469,50,50
9,18014,1,894,597,50,50
9,18015,1,910,577,50,50
9,18016,1,1861,614,50,50
9,18017,1,1811,511,50,50
9,18018,1,409,550,50,50
9,18020,1,275,481,50,50
9,18023,1,1472,603,50,50
9,18024,1,20,310,50,50
10,17987,1,-159,455,50,50
10,17991,1,471,467,50,50
10,18001,1,586,577,50,50
10,18003,1,1476,479,50,50
10,18004,1,1627,479,50,50
10,18007,1,357,497,50,50
10,18008,1,1249,516,50,50
10,18009,1,59,555,50,50
10,18011,1,1186,585,50,50
10,18012,1,1369,572,50,50
10,18013,1,52,469,50,50
10,18014,1,900,597,50,50
10,18015,1,916,577,50,50
10,18016,1,1867,615,50,50
10,18017,1,1805,511,50,50
10,18018,1,418,550,50,50
10,18020,1,269,480,50,50
10,18023,1,1487,602,50,50
10,18024,1,20,309,50,50
11,17987,1,-167,454,50,50
11,17991,1,463,466,50,50
11,18001,1,595,578,50,50
11,18003,1,1469,479,50,50
11,18004,1,1620,479,50,50
11,18007,1,352,497,50,50
11,18008,1,1241,516,50,50
11,18009,1,65,556,50,50
11,18011,1,1192,586,50,50
11,18012,1,1378,572,50,50
11,18013,1,46,469,50,50
11,18014,1,907,597,50,50
11,18015,1,924,578,50,50
11,18016,1,1872,615,50,50
11,18017,1,1799,511,50,50
11,18018,1,427,550,50,50
11,18020,1,262,479,50,50
11,18023,1,1494,601,50,50
11,18024,1,20,308,50,50
11,18026,1,122,539,50,50
12,17987,1,-175,454,50,50
12,17991,1,456,466,50,50
12,18001,1,603,578,50,50
12,18003,1,1462,478,50,50
12,18004,1,1613,479,50,50
12,18007,1,345,497,50,50
12,18008,1,1234,516,50,50
12,18009,1,71,556,50,50
12,18011,1,1198,586,50,50
12,18012,1,1386,572,50,50
12,18013,1,40,469,50,50
12,18014,1,914,597,50,50
12,18015,1,931,578,50,50
12,18016,1,1878,615,50,50
12,18017,1,1793,511,50,50
12,18018,1,435,550,50,50
12,18020,1,256,478,50,50
12,18023,1,1506,603,50,50
12,18024,1,20,308,50,50
12,18026,1,129,539,50,50
13,17987,1,-184,453,50,50
13,17991,1,448,466,50,50
13,18001,1,611,578,50,50
13,18003,1,1455,478,50,50
13,18004,1,1606,479,50,50
13,18007,1,338,497,50,50
13,18008,1,1226,515,50,50
13,18009,1,77,557,50,50
13,18011,1,1205,586,50,50
13,18012,1,1396,573,50,50
13,18013,1,34,469,50,50
13,18014,1,920,597,50,50
13,18015,1,939,578,50,50
13,18016,1,1883,616,50,50
13,18017,1,1787,512,50,50
13,18018,1,444,551,50,50
13,18020,1,251,477,50,50
13,18023,1,1513,603,50,50
13,18024,1,20,308,50,50
13,18026,1,138,539,50,50
14,17987,1,-192,453,50,50
14,17991,1,440,466,50,50
14,18001,1,620,578,50,50
14,18003,1,1448,478,50,50
14,18004,1,1600,479,50,50
14,18007,1,331,497,50,50
14,18008,1,1218,514,50,50
14,18009,1,84,557,50,50
14,18011,1,1211,586,50,50
14,18012,1,1404,573,50,50
14,18013,1,29,468,50,50
14,18014,1,927,597,50,50
14,18015,1,946,578,50,50
14,18016,1,1890,616,50,50
14,18017,1,1781,512,50,50
14,18018,1,453,551,50,50
14,18020,1,245,477,50,50
14,18023,1,1521,603,50,50
14,18024,1,20,308,50,50
14,18026,1,146,540,50,50
15,17987,1,-200,452,50,50
15,17991,1,432,466,50,50
15,18001,1,628,578,50,50
15,18003,1,1441,478,50,50
15,18004,1,1593,479,50,50
15,18007,1,324,497,50,50
15,18008,1,1210,514,50,50
15,18009,1,91,557,50,50
15,18011,1,1218,587,50,50
15,18012,1,1414,573,50,50
15,18013,1,23,468,49,50
15,18014,1,934,598,50,50
15,18015,1,954,578,50,50
15,18016,1,1895,616,50,50
15,18017,1,1775,512,50,50
15,18018,1,461,551,50,50
15,18020,1,239,477,50,50
15,18023,1,1529,603,50,50
15,18024,1,20,308,50,50
15,18026,1,154,541,50,50
